CustomerID,Age,Gender,MaritalStatus,NumDependents,EmploymentStatus,AnnualIncome,ExistingLoans,LoanAmount,CreditScore,TenureWithBank,AccountBalance,RequestedCreditLine,Decision
1,56,M,Single,3,Retired,146479,No,48174,784,16,13237,10777,800
2,69,M,Married,2,Employed,47127,Yes,35699,808,22,16251,12249,300
3,46,M,Widowed,4,Unemployed,25141,Yes,46335,597,3,19252,22390,800
4,32,F,Single,3,Unemployed,48884,Yes,46806,463,24,10707,21369,600
5,60,M,Widowed,3,Self-Employed,110421,No,12317,675,12,34206,13881,400
6,25,M,Married,0,Retired,22708,No,35739,567,25,28740,10587,300
7,38,M,Single,0,Self-Employed,38375,Yes,34785,848,8,3543,29264,600
8,56,F,Divorced,4,Retired,35088,Yes,31980,373,13,44135,9791,600
9,36,F,Married,3,Employed,77615,No,23799,807,4,48288,42473,300
10,40,M,Divorced,1,Employed,130138,Yes,35183,372,14,39111,23375,500
11,28,M,Widowed,0,Employed,65046,No,29166,607,14,35031,23611,400
12,28,M,Widowed,4,Employed,30014,No,19480,498,13,42929,43026,400
13,41,M,Married,3,Unemployed,84425,Yes,1609,429,27,211,8833,400
14,53,F,Widowed,3,Unemployed,23273,No,717,786,6,46577,48013,800
15,57,F,Divorced,1,Self-Employed,67135,Yes,19945,450,17,39795,16754,500
16,41,F,Single,4,Retired,122842,Yes,25592,505,4,331,43048,300
17,20,F,Single,3,Employed,50881,Yes,28141,478,8,23244,13577,300
18,39,M,Single,0,Employed,117022,Yes,30009,496,17,8169,32095,400
19,19,M,Married,1,Retired,98077,Yes,45430,388,3,22104,22248,400
20,41,M,Widowed,4,Retired,28712,Yes,6782,733,17,41901,36282,400
21,61,F,Divorced,1,Self-Employed,94704,No,26536,482,9,14591,37737,500
22,47,M,Widowed,0,Retired,72874,No,33816,508,2,31711,32891,500
23,55,F,Widowed,4,Employed,89087,No,25933,792,25,48893,25124,600
24,19,F,Widowed,1,Employed,32297,No,11618,429,13,727,5566,600
25,38,M,Single,2,Employed,129269,Yes,8307,312,20,21359,3196,600
26,50,M,Divorced,0,Employed,47128,No,26671,405,2,43822,32115,800
27,29,M,Divorced,0,Employed,88368,No,40673,674,20,36011,20859,300
28,39,F,Widowed,0,Self-Employed,114019,No,42761,398,28,49800,12345,700
29,61,M,Single,2,Employed,107599,Yes,10338,491,11,37863,35077,300
30,42,F,Single,2,Self-Employed,108499,No,38346,624,27,46577,1864,300
31,66,M,Divorced,3,Employed,98958,Yes,46602,766,26,22998,13055,500
32,44,F,Single,1,Unemployed,52920,No,6548,666,22,10929,39157,800
33,59,F,Single,3,Unemployed,140442,Yes,40149,617,15,14842,20747,300
34,45,M,Single,1,Unemployed,31156,Yes,21164,443,11,23519,45484,300
35,33,F,Married,2,Unemployed,31108,No,27526,683,23,17393,12978,600
36,32,F,Widowed,2,Self-Employed,51845,Yes,31222,515,3,34318,25599,400
37,64,M,Divorced,3,Self-Employed,22800,Yes,20176,660,3,8995,36771,600
38,68,F,Divorced,4,Retired,148832,No,2941,623,28,28656,47942,800
39,61,M,Married,3,Employed,123614,No,5695,314,26,47934,47540,300
40,69,F,Widowed,1,Unemployed,62712,No,39169,516,12,40260,18615,500
41,20,M,Divorced,3,Self-Employed,22610,Yes,47947,791,24,45269,41727,600
42,54,M,Single,0,Employed,97603,Yes,47224,846,5,15567,45748,400
43,68,F,Divorced,1,Employed,53872,Yes,45865,482,20,28840,40349,300
44,24,F,Single,1,Self-Employed,30728,No,25553,569,7,23831,30377,800
45,38,F,Married,4,Unemployed,115102,Yes,38965,766,7,13265,31031,600
46,26,F,Single,2,Retired,115319,Yes,38218,818,13,5424,43733,400
47,56,F,Divorced,1,Employed,142049,Yes,25359,841,9,20625,12760,600
48,35,M,Divorced,2,Retired,40583,Yes,24816,766,25,14086,48690,800
49,21,F,Divorced,3,Unemployed,105774,Yes,8378,604,21,29187,34714,700
50,42,M,Married,0,Unemployed,27263,Yes,1881,443,13,35929,26762,300
51,31,M,Married,4,Retired,146374,Yes,39567,410,12,20539,35332,700
52,67,F,Widowed,2,Unemployed,87450,No,47365,531,13,25103,41100,300
53,26,M,Divorced,1,Employed,109285,No,13675,799,24,27874,5944,500
54,43,M,Single,2,Retired,39456,No,4586,572,10,9215,49825,300
55,19,M,Married,1,Unemployed,111118,Yes,25006,472,1,39385,14877,400
56,37,M,Divorced,2,Retired,85942,Yes,41198,306,25,22044,30990,700
57,45,F,Divorced,1,Employed,33689,No,22831,454,8,11926,43907,400
58,64,M,Married,3,Unemployed,52934,Yes,35113,821,22,47860,35076,600
59,24,F,Widowed,1,Employed,53276,No,16459,845,16,31501,4258,300
60,61,F,Married,1,Unemployed,136349,Yes,32443,847,13,29774,32629,700
61,25,M,Married,0,Self-Employed,149336,Yes,42316,817,3,25008,38579,700
62,64,F,Single,1,Unemployed,121968,No,30595,514,3,48928,23958,500
63,52,F,Single,0,Retired,39873,No,5877,433,24,17560,40465,300
64,31,F,Widowed,4,Unemployed,33050,No,39553,584,5,24340,21317,400
65,34,M,Divorced,0,Employed,86216,No,48601,425,26,24976,16775,300
66,53,F,Married,3,Employed,104444,No,4922,738,11,48406,12039,500
67,67,F,Widowed,0,Unemployed,104040,Yes,4686,451,7,27626,30097,500
68,57,F,Single,4,Retired,41644,Yes,32766,630,21,32720,35207,800
69,21,M,Married,3,Self-Employed,82021,Yes,14407,837,24,35001,23553,400
70,19,F,Divorced,2,Retired,57125,No,32006,682,10,4700,45402,500
71,23,M,Single,2,Self-Employed,86899,No,31422,414,10,43795,1055,500
72,59,M,Single,0,Employed,62291,No,12205,781,20,7860,24161,300
73,21,M,Single,0,Retired,55060,No,21054,583,2,7526,33873,300
74,46,M,Widowed,4,Self-Employed,21538,No,23527,374,3,38327,36969,400
75,35,M,Divorced,4,Unemployed,56176,No,45947,465,8,39500,16184,300
76,43,M,Married,1,Employed,142430,Yes,18443,488,11,2513,1669,500
77,61,F,Widowed,4,Unemployed,61520,Yes,16524,377,13,7830,13663,500
78,51,M,Widowed,1,Employed,45675,Yes,28202,320,7,14781,26318,500
79,27,F,Widowed,3,Retired,38287,Yes,16,483,13,7910,34734,500
80,53,F,Single,0,Retired,20174,Yes,46142,521,2,15847,17691,800
81,31,M,Divorced,3,Employed,112268,No,16848,627,6,5649,19522,400
82,48,F,Widowed,4,Employed,54998,No,20855,478,9,9120,12656,500
83,65,F,Married,3,Employed,122591,No,18211,411,20,1951,16893,700
84,32,F,Divorced,3,Retired,73312,No,25095,358,25,10165,46857,700
85,25,F,Married,3,Self-Employed,32112,No,38724,626,2,14352,17493,700
86,31,M,Divorced,4,Unemployed,125410,No,49241,490,18,9746,4632,500
87,40,F,Married,3,Unemployed,95225,Yes,37583,499,16,43738,31336,400
88,57,M,Single,1,Retired,64814,No,2843,611,25,28997,24112,700
89,38,F,Widowed,4,Unemployed,105091,No,29301,334,12,41954,39452,500
90,33,F,Married,3,Employed,70719,No,26460,678,7,24183,14266,500
91,62,M,Divorced,4,Self-Employed,149887,No,31918,686,7,8804,17940,600
92,35,F,Widowed,2,Unemployed,53919,Yes,28747,536,17,27169,25003,400
93,64,F,Widowed,1,Self-Employed,93155,Yes,15972,818,13,595,33872,400
94,41,F,Divorced,3,Employed,91569,No,28310,582,11,29592,35815,300
95,43,M,Married,2,Unemployed,61328,Yes,22927,300,6,40643,31869,400
96,42,F,Single,2,Retired,90482,Yes,1094,763,29,20823,18257,600
97,62,M,Single,4,Self-Employed,44618,No,38892,529,23,5972,17682,300
98,58,F,Married,2,Employed,54675,No,34172,471,27,15882,20622,400
99,46,M,Widowed,1,Self-Employed,121794,No,23324,386,14,858,31408,800
100,32,M,Widowed,1,Unemployed,38919,No,20674,422,6,5519,9837,400
101,62,F,Widowed,0,Unemployed,24173,No,3982,597,6,23769,16407,400
102,18,F,Widowed,1,Retired,129369,Yes,45283,783,2,25020,30309,400
103,42,M,Married,2,Employed,46400,No,15790,464,22,42748,7382,300
104,24,M,Widowed,1,Employed,70445,No,12205,682,20,37085,28654,300
105,26,F,Divorced,4,Retired,90305,No,24338,508,25,19838,19895,400
106,41,M,Widowed,0,Retired,57564,Yes,12748,731,15,44912,34551,300
